acceptance_rate,account_age_months,activity_trend_ratio,activity_trend_ratio_1to5,avg_struggle_minutes,avg_struggle_minutes_1to5,burnout_flag,contests_per_month,current_rating,ds_solve_rate,ds_solve_rate_1to5,handle,math_solve_rate,math_solve_rate_1to5,max_rating,months_since_last_submission,post_drop_recovery,problems_solved_per_month,rating_volatility,rating_volatility_1to5,status_proxy,total_contests,total_problems_solved,total_submissions,upsolves_per_contest,upsolves_per_contest_1to5
0.491,197.4,0.1,1,10382.7,1,1,0.42,1435,0.35,2,36048517fbe749c8,0.463,2,1713,0.8,7.3,2.72,182.1,1,Active,82,534,1427,1.5,5
0.846,22.0,9.44,5,2257.0,2,0,0.38,1054,0.804,5,bdbe15796b6f4490,0.838,5,1124,0.8,-37.0,14.59,133.6,2,Active,8,309,428,0.5,4
0.415,22.5,0.73,3,1985.9,2,0,3.69,1648,0.299,2,8c3fcd70b33a9336,0.426,2,1702,0.3,15.4,17.81,78.0,5,Active,79,381,945,0.519,4
0.55,43.8,0.5,2,1874.0,2,0,1.97,1926,0.469,3,f7370f88289b68db,0.615,4,2086,0.0,15.4,43.86,82.5,5,Active,86,1918,3513,0.36,3
0.559,83.6,0.33,2,9.4,4,1,0.15,1604,0.404,3,50e8c33cd0a52010,0.589,4,1770,23.2,25.7,1.87,474.7,1,Stopped,9,113,202,1.0,5
0.504,11.0,1.87,4,536.9,3,0,0.93,1217,0.442,3,0b05d4a6e4b1e612,0.502,3,1217,0.0,28.0,22.61,123.5,3,Active,10,242,488,0.3,3
0.556,37.7,0.8,3,23309.4,1,0,0.35,1114,0.688,5,dd5a2993031b8bda,0.572,4,1127,0.6,57.5,8.05,128.9,2,Active,13,298,583,0.077,2
0.422,54.9,0.12,1,212.0,3,1,0.22,1190,0.361,2,f108d83c0c0ddcc4,0.397,1,1190,0.4,86.0,3.89,127.3,3,Active,12,212,507,0.833,5
0.196,21.2,0.29,2,21199.1,1,1,1.62,1185,0.142,1,a8e8744d9aa9af8b,0.188,1,1213,0.4,23.8,20.46,88.5,5,Active,31,392,2019,0.226,3
0.551,84.0,0.15,1,8472.9,1,1,1.43,1055,0.519,4,edbbb60bfecf2fd4,0.559,4,1369,23.1,2.5,11.77,157.7,1,Stopped,87,716,1322,0.747,4
0.507,155.0,0.71,3,20302.5,1,0,1.68,1601,0.404,3,8f7844f34565aafc,0.529,3,2169,0.9,7.1,14.35,106.4,4,Active,259,2206,4826,0.822,5
0.489,22.5,0.8,3,124.1,3,0,0.23,1002,0.421,3,02e9f6095a180113,0.441,2,1002,0.3,0.0,6.48,138.7,2,Active,5,144,321,0.4,4
0.461,24.4,0.43,2,3277.4,2,1,2.3,1370,0.351,2,d9a5263019831147,0.47,2,1624,2.5,13.0,15.67,99.3,4,Active,50,341,787,0.14,3
0.394,10.0,0.29,2,617.7,3,1,1.13,888,0.38,2,780b97eb0ab519a1,0.362,1,956,2.1,-41.5,31.11,143.2,2,Active,9,248,658,0.667,4
0.476,31.3,0.51,2,4051.7,1,0,1.72,1437,0.612,4,73247edb89b79b4c,0.473,2,1437,0.4,12.2,22.0,76.7,5,Active,51,652,1388,0.608,4
0.318,19.1,0.92,3,3114.1,2,0,0.33,954,0.444,3,52534e1567aa5a6e,0.475,2,974,0.4,0.0,9.41,147.2,1,Active,6,170,556,0.0,1
0.252,33.9,3.62,5,94.2,4,0,0.64,919,1.0,5,341d9afe9742f6c0,0.204,1,1081,0.9,-18.2,1.16,121.1,3,Active,15,27,111,0.067,2
0.333,7.8,2.0,4,0.0,5,0,2.21,866,0.333,2,b8392f499c578bb3,0.75,5,866,3.9,0.0,1.76,158.0,1,Stopped,5,4,12,0.0,1
0.548,24.9,0.56,2,2.4,5,0,1.06,1176,0.5,3,92ec2eff83e685cf,0.591,4,1176,0.4,0.0,3.04,161.7,1,Active,8,23,42,0.125,2
0.367,22.3,0.03,1,137.9,3,1,1.04,934,0.0,1,6f7d9d7f95ccb83f,0.579,4,1048,0.8,-56.5,2.87,159.6,1,Active,8,22,60,0.375,3
0.155,14.8,0.2,1,8.2,4,1,1.23,609,0.0,1,9b0d12bc4890681d,0.164,1,815,4.1,-24.4,1.23,125.0,3,Stopped,13,13,84,0.0,1
0.334,43.0,6.55,5,9368.3,1,0,0.22,1092,0.345,2,a15601a2646e7c19,0.333,1,1110,5.6,-1.0,2.6,179.7,1,Stopped,8,96,287,0.125,2
0.414,26.0,0.01,1,1718.9,2,1,0.62,841,0.357,2,2d7a80b4ae687b96,0.388,1,941,10.8,-13.5,4.43,140.1,2,Stopped,9,64,157,1.0,5
0.483,21.3,1.17,4,987.1,2,0,3.69,1012,0.472,3,04edacc92aa398ca,0.534,3,1093,0.0,9.5,43.61,72.9,5,Active,62,732,1659,1.29,5
0.466,66.4,0.03,1,4.0,5,1,0.21,1480,0.519,4,3f131e15a0d8011a,0.472,2,1489,14.2,1.0,1.51,137.0,2,Stopped,11,79,178,0.091,2
0.59,52.6,0.82,3,2372.7,2,0,0.13,1534,0.548,4,c876e931051301c9,0.603,4,1563,0.3,0.0,27.92,170.4,1,Active,7,1460,2703,1.0,5
0.447,23.3,0.4,2,4182.3,1,1,2.52,1125,0.513,4,e10ae09567dbe9c9,0.452,2,1231,0.9,17.5,34.87,84.6,5,Active,56,774,1793,1.161,5
