"1.Current Semester (like 1st,2nd..)",2. Current CGPA ,3. Did you know programming before university? ,4. Grade in Data Structures and Algorithms (DSA) course ,5. Mathematics skills rating ,6. Your current CP status? ,7.Hours per week spent on CP ,8. Platforms used regularly ,9. Current rating on main platform (write 0 if no rating) ,10. Number of contests participated per month ,11. Do you do upsolving after contests? ,12. New problems solved per month ,13. Time spent on a problem before checking editorial ,14. Understanding of standard data structures ,15. Comfortable with DP/Graph Theory problems? ,16. Programming language used for CP ,17. Mental state when rating decreases ,18. Experience burnout frequently? ,19. Feel demotivated comparing with friends ratings ,20. Motivation for doing CP ,21. Fear of failure prevents contest participation? ,22. Have a mentor/senior guide? ,23. University programming club support quality ,24. Problems with internet/PC access? ,25. Academic pressure affects CP time? ,26. Family pressure to focus only on grades? ,27. Taken 15+ consecutive days break in last 3 months? ,28. Ever seriously thought about quitting CP? ,29. See yourself active in CP 6 months from now? ,30. Duration of CP practice before quitting ,31. Main reasons for quitting ,32. Highest rating before quitting (0 if no rating) ,33.  Practice habit in the month before quitting ,34.  Ever seriously thought about quitting CP?,35. Had mentor/senior support? ,"36. Have you taken 15+ consecutive days of break during your CP journey?""",37. Understanding of standard data structures when you quit ,38.  Could you see yourself quitting CP 6 months prior? ,39. How many people in your friend circle did CP? ,40. Knowledge about CP ,41. Main reasons for not starting CP ,42. CP mandatory for good job? ,43. Current focus area ,44. Ever tried solving 1 problem on online judge? ,45. Would start CP if good mentorship existed? ,46. Medium chosen for building programming logic ,47. Number of friends doing CP ,48. Interest in starting CP in future? ,49. Would start if given easy roadmap and mentor? 
8th Semester,3.45,No,A+ or A,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Rating not increasing/no progress,816,Regular,No,No,Yes,4.0,No,1-2 people,,,,,,,,,,
6th Semester,3.8,No,A+ or A,5,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heard something about it,Not interested,3.0,Academic results (CGPA),"Yes, solved 1-2 then stopped",No,Only lab assignments,1-2 people,"No, have other plans",Maybe
7th Semester,4,No,A+ or A,4,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heard something about it,No guidelines or mentor,4.0,Data Science/Machine Learning,"Yes, solved 1-2 then stopped",Maybe,Only lab assignments,,"Maybe, if opportunity comes",Maybe
10,3.49,Yes,B+ or B,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-2 years,Others,1080,Stopped completely,No,No,Yes,5.0,No,1-2 people,,,,,,,,,,
4th,3.5,Yes,B+ or B,1,Currently active in CP,2 hours,Codeforces,1000,3,Always,5,Less than 15 minutes,1.0,Yes,C++,3.0,"Yes, frequently",2.0,I enjoy it,"Yes, often",Yes,5.0,Yes,"Yes, often",No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,
9th,3.45,No,A+ or A,3,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heard something about it,Don't know where to start,3.0,Academic results (CGPA),"No, never tried",Maybe,,1-2 people,"Maybe, if opportunity comes",Yes
8th,3.87,No,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,More than 2 years,Rating not increasing/no progress,842,Became irregular,Yes,No,Yes,4.0,No,More than 5 people,,,,,,,,,,
4th year 1 semester ,3.93,No,A+ or A,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Others,I have forgotten.,Became irregular,No,No,Yes,1.0,No,,,,,,,,,,,
4th,3.62,No,A+ or A,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Others,"1100(cf) ,1295(cc)",Became irregular,No,Yes,Yes,5.0,Maybe,More than 5 people,,,,,,,,,,
5 th ,3.48,Yes,B+ or B,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Interest in other tracks (Web Dev/ML),890,Became irregular,Yes,Yes,Yes,4.0,Maybe,3-5 people,,,,,,,,,,
3rd,3.35,No,A+ or A,2,Currently active in CP,1,Codeforces,0,2,Always,2,1-2 hours,1.0,Yes,C++,1.0,"Yes, frequently",3.0,I enjoy it,Sometimes,Yes,1.0,Yes,"Yes, often",Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,
3/1,3.18,No,C+ or C,5,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,More than 2 years,Lack of guidance or mentor,No,Stopped completely,No,No,Yes,3.0,No,,,,,,,,,,,
2nd,3.4,Yes,B+ or B,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Lack of guidance or mentor,0,Became irregular,Yes,Yes,Yes,1.0,No,1-2 people,,,,,,,,,,
5th,3.3,No,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,Less than 1 month,Rating not increasing/no progress,800,Became irregular,No,No,No,2.0,Yes,More than 5 people,,,,,,,,,,
4th,3.46,No,B+ or B,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Rating not increasing/no progress,936,Regular,No,No,Yes,2.0,No,1-2 people,,,,,,,,,,
10,3.96,No,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Others,1233,Became irregular,No,No,Yes,3.0,No,1-2 people,,,,,,,,,,
4th,3.4,No,C+ or C,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Others,1000,Stopped completely,No,No,Yes,3.0,Maybe,3-5 people,,,,,,,,,,
7th,3.5,No,Haven't taken it yet,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Lack of guidance or mentor,0,Stopped completely,No,No,No,1.0,Maybe,More than 5 people,,,,,,,,,,
4th year,3.7,Yes,C+ or C,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Interest in other tracks (Web Dev/ML),0,Stopped completely,No,No,Yes,3.0,No,1-2 people,,,,,,,,,,
4th ,3.22,Yes,A+ or A,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Rating not increasing/no progress,1000,Became irregular,No,No,Yes,2.0,Maybe,More than 5 people,,,,,,,,,,
8th,3.11,Yes,A+ or A,5,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heard something about it,Not interested,3.0,Nothing decided yet,"Yes, solved 1-2 then stopped",Maybe,YouTube/online courses,1-2 people,"Maybe, if opportunity comes",Maybe
graduated,3.76,No,A+ or A,5,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,More than 2 years,Others,1726,Regular,No,No,Yes,5.0,No,3-5 people,,,,,,,,,,
3rd,3.02,Yes,B+ or B,3,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heard something about it,"Seems too difficult, Lack of time (academic pressure), More interest in development (Web/App), No guidelines or mentor",4.0,Web/App Development,"Yes, solved 1-2 then stopped","Yes, definitely",LeetCode/interview prep sites,More than 5 people,"Maybe, if opportunity comes",Maybe
2nd year,3.9,No,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Academic pressure (CGPA focus),.,Became irregular,No,No,No,3.0,Yes,1-2 people,,,,,,,,,,
8th,3.92,Yes,A+ or A,4,Currently active in CP,35+,"Codeforces, Vjudge, CodeChef, Others",1604,5,Always,50,30 minutes - 1 hour,4.0,Yes,C++,3.0,Sometimes,2.0,I enjoy it,Sometimes,Yes,3.0,No,No,No,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,
4,3.31+,No,A+ or A,5,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-2 years,Rating not increasing/no progress,900,Regular,No,No,No,3.0,No,3-5 people,,,,,,,,,,
3rd,3.2,Yes,B+ or B,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Mental stress or burnout,879,Regular,No,No,Yes,5.0,Maybe,1-2 people,,,,,,,,,,
2-1,4,No,A+ or A,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Interest in other tracks (Web Dev/ML),0,Became irregular,No,No,Yes,4.0,No,1-2 people,,,,,,,,,,
6th,3.8,No,A+ or A,5,Currently active in CP,15,Codeforces,1132,10-11,Sometimes,20-22,30 minutes - 1 hour,3.0,Somewhat,C++,2.0,Sometimes,2.0,Both,Sometimes,No,2.0,Yes,"Yes, often",No,No,Yes,Maybe,,,,,,,,,,,,,,,,,,,,
3rd,4,No,A+ or A,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Others,900,Became irregular,No,No,No,1.0,Maybe,3-5 people,,,,,,,,,,
2nd year 3rd semester ,4,Yes,A+ or A,3,Currently active in CP,I am not consistent .. so there is no fixed hours ,Codeforces,1020,There isn't any fixed number,Rarely,At least 2 or 3,More than 2 hours,2.0,No,C++,3.0,"Yes, frequently",4.0,Both,"Yes, often",No,4.0,No,"Yes, often",No,Yes,No,Maybe,,,,,,,,,,,,,,,,,,,,
3.3,3.96,Yes,A+ or A,4,Currently active in CP,3,Codeforces,850,3,Sometimes,5/6,Less than 15 minutes,3.0,No,C++,5.0,Sometimes,5.0,Both,Sometimes,Yes,3.0,Yes,"Yes, often",No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,
7th,4,No,A+ or A,5,Currently active in CP,12,"Codeforces, LeetCode, AtCoder, CodeChef",1432,3,Rarely,30,30 minutes - 1 hour,4.0,Yes,C++,3.0,"Yes, frequently",1.0,Both,Sometimes,No,3.0,Yes,Sometimes,No,Yes,No,Maybe,,,,,,,,,,,,,,,,,,,,
3.3,3.7,No,A+ or A,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-2 years,Others,0,Became irregular,No,No,No,3.0,Maybe,3-5 people,,,,,,,,,,
7th,3.67,Yes,A+ or A,4,Currently active in CP,10,"Codeforces, Vjudge, CodeChef",1609,8,Sometimes,12,1-2 hours,4.0,Yes,C++,3.0,"Yes, frequently",4.0,Both,Sometimes,Yes,4.0,No,"Yes, often",No,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,
2nd year 3rd semester ,3.7,No,A+ or A,4,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heard something about it,"Seems too difficult, Lack of time (academic pressure), No guidelines or mentor, Don't know where to start",4.0,Nothing decided yet,"No, never tried","Yes, definitely",Only lab assignments,,"Maybe, if opportunity comes",Yes
